Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
01 01 2018 00:00,380.0477905,5.31133604,416.3289078,259.9949036,0,0,0
01 01 2018 00:10,453.7691956,5.672166824,519.9175111,268.6411133,10,10,0.360830784
01 01 2018 00:20,306.3765869,5.216036797,390.9000158,272.5647888,20,10,-0.456130028
01 01 2018 00:30,419.6459045,5.659674168,516.127569,271.2580872,30,10,0.443637371
01 01 2018 00:40,380.6506958,5.577940941,491.702972,265.6742859,40,10,-0.081733227
01 01 2018 00:50,402.3919983,5.604052067,499.436385,264.5786133,50,10,0.026111126
01 01 2018 01:00,447.6057129,5.793007851,557.3723633,266.1636047,0,-50,0.188955784
01 01 2018 01:10,387.2421875,5.306049824,414.8981788,257.9494934,10,10,-0.486958027
01 01 2018 01:20,463.6512146,5.584629059,493.6776521,253.4806976,20,10,0.278579235
01 01 2018 01:30,439.725708,5.523228168,475.7067828,258.7237854,30,10,-0.06140089
01 01 2018 01:40,498.1817017,5.724115849,535.841397,251.8509979,40,10,0.20088768
01 01 2018 01:50,526.8162231,5.934198856,603.0140765,265.5046997,50,10,0.210083008
01 01 2018 02:00,710.5872803,6.547413826,824.6625136,274.2329102,0,-50,0.61321497
01 01 2018 02:10,655.1942749,6.199746132,693.4726411,266.7331848,10,10,-0.347667694
01 01 2018 02:20,754.7625122,6.505383015,808.0981385,266.7604065,20,10,0.305636883
01 01 2018 02:30,790.1732788,6.634116173,859.4590208,270.4931946,30,10,0.128733158
01 01 2018 02:40,742.9852905,6.378912926,759.4345366,266.5932922,40,10,-0.255203247
01 01 2018 02:50,748.2296143,6.446652889,785.2810099,265.5718079,50,10,0.067739964
01 01 2018 03:00,736.6478271,6.415082932,773.1728635,261.1586914,0,-50,-0.031569958
01 01 2018 03:10,787.2462158,6.437530994,781.7712157,257.5602112,10,10,0.022448063
01 01 2018 03:20,722.8640747,6.220024109,700.7646999,255.9264984,20,10,-0.217506886
01 01 2018 03:30,935.0333862,6.89802599,970.7366269,250.0128937,30,10,0.678001881
01 01 2018 03:40,1220.609009,7.60971117,1315.048928,255.9857025,40,10,0.711685181
01 01 2018 03:50,1053.771973,7.288355827,1151.265744,255.4445953,50,10,-0.321355343
01 01 2018 04:00,1493.807983,7.943101883,1497.583724,256.4074097,0,-50,0.654746056
01 01 2018 04:10,1724.488037,8.376161575,1752.199662,252.4125977,10,10,0.433059692
01 01 2018 04:20,1636.935059,8.23695755,1668.470707,247.9794006,20,10,-0.139204025
01 01 2018 04:30,1385.488037,7.879590988,1461.815791,238.6096039,30,10,-0.357366562
01 01 2018 04:40,1098.932007,7.101376057,1062.285034,245.0955963,40,10,-0.778214931
01 01 2018 04:50,1021.458008,6.955307007,995.9958546,245.410202,50,10,-0.14606905
01 01 2018 05:00,1164.892944,7.098298073,1060.859712,235.2279053,0,-50,0.142991066
01 01 2018 05:10,1073.332031,6.953630924,995.2509608,242.8726959,10,10,-0.144667149
01 01 2018 05:20,1165.307983,7.249577999,1132.416861,244.8356934,20,10,0.295947075
01 01 2018 05:30,1177.98999,7.294691086,1154.365305,242.4815979,30,10,0.045113087
01 01 2018 05:40,1170.536011,7.376369953,1194.843099,247.9772034,40,10,0.081678867
01 01 2018 05:50,1145.536011,7.448554039,1231.430706,249.6829987,50,10,0.072184086
01 01 2018 06:00,1114.026978,7.23925209,1127.433206,248.401001,0,-50,-0.209301949
01 01 2018 06:10,1153.185059,7.329211235,1171.355044,244.6217041,10,10,0.089959145
01 01 2018 06:20,1125.331055,7.139705181,1080.139085,244.6318054,20,10,-0.189506054
01 01 2018 06:30,1228.732056,7.474228859,1244.633534,245.7859955,30,10,0.334523678
01 01 2018 06:40,1021.79303,7.033174038,1030.992686,248.6522064,40,10,-0.441054821
01 01 2018 06:50,957.3781738,6.886455059,965.6833344,244.6116943,50,10,-0.146718979
01 01 2018 07:00,909.8878174,6.887821198,966.2791049,235.8482971,0,-50,0.001366138
01 01 2018 07:10,1000.953979,7.216432095,1116.471899,232.8426971,10,10,0.328610897
01 01 2018 07:20,1024.478027,7.068597794,1047.170231,229.933197,20,10,-0.147834301
01 01 2018 07:30,1009.533997,6.938295841,988.4519407,230.1367035,30,10,-0.130301952
01 01 2018 07:40,899.492981,6.536687851,820.4166586,234.9338074,40,10,-0.40160799
01 01 2018 07:50,725.1101074,6.180624962,686.6369422,232.8379059,50,10,-0.356062889
01 01 2018 08:00,585.2593994,5.816825867,564.9276595,240.3287964,0,-50,-0.363799095
01 01 2018 08:10,443.9139099,5.450150967,454.7735871,238.126297,10,10,-0.3666749
01 01 2018 08:20,565.2537842,5.81814909,565.3490932,235.800293,20,10,0.367998123
01 01 2018 08:30,644.0377808,6.130272865,668.8235693,224.9586945,30,10,0.312123775
01 01 2018 08:40,712.0588989,6.347077847,747.4606734,216.803894,40,10,0.216804981
01 01 2018 08:50,737.3947754,6.347436905,747.5951091,205.7852936,50,10,0.000359058
01 01 2018 09:00,725.868103,6.194368839,691.5463343,199.8484955,0,-50,-0.153068066
01 01 2018 09:10,408.997406,4.977198124,330.4176304,207.9978027,10,10,-1.217170715
01 01 2018 09:20,628.4368286,5.959111214,611.2838365,210.954895,20,10,0.98191309
01 01 2018 09:30,716.1005859,6.21137619,697.6494744,215.6940002,30,10,0.252264977
01 01 2018 09:40,711.4956055,6.111453056,662.235163,220.8426056,40,10,-0.099923134
01 01 2018 09:50,838.1519165,6.456322193,789.0114224,237.0653076,50,10,0.344869137
01 01 2018 10:00,881.0620728,6.666657925,872.7396259,235.6674957,0,-50,0.210335732
01 01 2018 10:10,663.703125,6.16287899,680.3278917,229.3296967,10,10,-0.503778934
01 01 2018 10:20,578.2615967,6.013167858,628.4425608,234.9006042,20,10,-0.149711132
01 01 2018 10:30,465.6200867,5.561203003,486.7795676,230.4228058,30,10,-0.451964855
01 01 2018 10:40,311.0509033,4.960731983,326.4110254,229.5375061,40,10,-0.60047102
01 01 2018 10:50,230.0554962,4.60387516,244.3162442,231.7984924,50,10,-0.356856823
01 01 2018 11:00,233.9906006,4.554533958,233.6327805,234.1056061,0,-50,-0.049341202
01 01 2018 11:10,175.5921936,4.26362896,173.5736631,228.7767029,10,10,-0.290904999
01 01 2018 11:20,118.1331024,3.894139051,108.5712211,227.9389954,20,10,-0.369489908
01 01 2018 11:30,142.2024994,4.038761139,130.2299896,224.4649963,30,10,0.144622087
01 01 2018 11:40,212.5661926,4.505650997,223.1967841,224.9505005,40,10,0.466889858
01 01 2018 11:50,222.6100006,4.543397903,231.2425073,229.127594,50,10,0.037746906
01 01 2018 12:00,194.1811981,4.323760986,185.5984796,227.0399933,0,-50,-0.219636917
01 01 2018 12:10,82.64074707,3.634437084,68.5028198,230.3146057,10,10,-0.689323902
01 01 2018 12:20,75.8952179,3.705512047,78.39616535,233.9532928,20,10,0.071074963
01 01 2018 12:30,41.94723892,3.253968,29.28695563,233.0659027,30,10,-0.451544046
01 01 2018 12:40,118.5345993,3.775136948,88.87136533,227.7534943,40,10,0.521168947
01 01 2018 12:50,250.7559052,4.693500996,264.1192574,229.8966064,50,10,0.918364048
01 01 2018 13:00,346.8644104,5.002939224,336.7219982,235.2794952,0,-50,0.309438229
01 01 2018 13:10,416.4179077,5.364749908,430.921089,235.5852966,10,10,0.361810684
01 01 2018 13:20,331.9414978,5.016181946,339.9849402,229.9429016,20,10,-0.348567963
01 01 2018 13:30,583.4799194,5.970407963,615.0556308,235.6952972,30,10,0.954226017
01 01 2018 13:40,776.5526733,6.655520916,868.1808449,241.4573975,40,10,0.685112953
01 01 2018 13:50,752.7263794,6.600903988,846.0294095,242.7821045,50,10,-0.054616928
01 01 2018 14:00,589.0731201,5.981378078,618.7314427,234.9844055,0,-50,-0.619525909
01 01 2018 14:10,1109.128052,7.424593925,1219.199787,235.1472931,10,10,1.443215847
01 01 2018 14:20,1482.459961,8.186451912,1638.508909,238.4790955,20,10,0.761857986
01 01 2018 14:30,1523.430054,8.27493,1691.147039,237.0332031,30,10,0.088478088
01 01 2018 14:40,1572.170044,8.449202538,1796.76309,238.3323975,40,10,0.174272537
01 01 2018 14:50,1698.939941,8.575974464,1875.047197,235.6414032,50,10,0.126771927
01 01 2018 15:00,1616.845947,8.282259941,1695.538777,236.4613953,0,-50,-0.293714523
01 01 2018 15:10,1796.823975,8.734552383,1974.4758,234.3547974,10,10,0.452292442
01 01 2018 15:20,1885.860962,8.764103889,1993.170712,231.0016022,20,10,0.029551506
01 01 2018 15:30,2327.511963,9.669431686,2568.827129,227.6000977,30,10,0.905327797
01 01 2018 15:40,2499.162109,10.14109039,2876.753616,227.7315979,40,10,0.471658707
01 01 2018 15:50,2820.512939,10.77241993,3186.029883,225.2763977,50,10,0.631329536
01 01 2018 16:00,2812.279053,10.64752007,3133.259224,224.680603,0,-50,-0.124899864
01 01 2018 16:10,2530.447021,9.982661247,2781.274041,225.5195007,10,10,-0.664858818
01 01 2018 16:20,2399.121094,9.874385834,2711.492458,227.2738037,20,10,-0.108275414
01 01 2018 16:30,2335.587891,9.785479546,2651.341009,229.2554932,30,10,-0.088906288
01 01 2018 16:40,2341.133057,9.614232063,2527.945451,230.7368927,40,10,-0.171247482
01 01 2018 16:50,2391.8479,9.618504524,2531.14794,229.490799,50,10,0.004272461
01 01 2018 17:00,2118.389893,9.098683357,2207.79282,223.960907,0,-50,-0.519821167
01 01 2018 17:10,1866.845947,8.677425385,1938.478601,219.7937012,10,10,-0.421257973
01 01 2018 17:20,1865.619019,8.774898529,2000.011716,219.0449066,20,10,0.097473145
01 01 2018 17:30,1862.447998,8.689981461,1946.373955,215.3352051,30,10,-0.084917068
01 01 2018 17:40,1884.119019,8.631073952,1909.416256,216.2799988,40,10,-0.058907509
01 01 2018 17:50,1855.776978,8.614569664,1899.100734,214.5290985,50,10,-0.016504288
01 01 2018 18:00,1958.133057,9.21884346,2285.917032,212.1799011,0,-50,0.604273796
01 01 2018 18:10,2228.24292,10.04951954,2822.50949,210.3085938,10,10,0.830676079
01 01 2018 18:20,2529.291016,10.31871033,2974.866796,210.5881042,20,10,0.269190788
01 01 2018 18:30,2788.25708,10.76675987,3183.72246,207.4813995,30,10,0.448049545
01 01 2018 18:40,2692.929932,10.55825043,3093.110672,208.5518951,40,10,-0.208509445
01 01 2018 18:50,2535.353027,10.25072002,2938.394607,208.0106964,50,10,-0.307530403
01 01 2018 19:00,2584.665039,10.46477032,3048.823833,205.7528992,0,-50,0.214050293
01 01 2018 19:10,2960.183105,11.39078045,3393.645541,200.6542969,10,10,0.926010132
01 01 2018 19:20,3062.978027,11.56554031,3437.597135,198.1242981,20,10,0.174759865
01 01 2018 19:30,3024.39209,11.2802496,3362.668742,198.5381927,30,10,-0.285290718
01 01 2018 19:40,3187.9729,11.33677959,3378.826271,200.4904022,40,10,0.056529999
01 01 2018 19:50,3387.228027,11.80463982,3488.248491,199.2469025,50,10,0.467860222
01 01 2018 20:00,3209.018066,11.3635397,3386.244486,199.8054962,0,-50,-0.441100121
01 01 2018 20:10,3272.665039,11.63259029,3452.881108,198.2677002,10,10,0.269050598
01 01 2018 20:20,3209.698975,11.44476032,3407.867876,195.6320038,20,10,-0.187829971
01 01 2018 20:30,3134.518066,11.27190018,3360.225775,196.6611023,30,10,-0.172860146
